No,Business Name,Country,Industry,Website,WhatsApp Available,WhatsApp Number,Facebook Page,Instagram Page,Email
59,Lemonade,Israel,Fintech / Insurance,https://www.lemonade.com,No,Not Found,https://www.facebook.com/Lemonade.Inc,https://www.instagram.com/lemonade_inc,Not Found
60,Rapyd,Israel,Fintech,https://www.rapyd.net,No,Not Found,https://www.facebook.com/rapaborot,Not Found,Not Found
61,Tipalti,Israel,Fintech,https://tipalti.com,No,Not Found,https://www.facebook.com/Tipalti,Not Found,Not Found
62,Bank Leumi,Israel,Banking,https://www.leumi.co.il,No,Not Found,https://www.facebook.com/LeumiBank,https://www.instagram.com/leumi_bank,Not Found
63,Bank Hapoalim,Israel,Banking,https://www.bankhapoalim.co.il,No,Not Found,https://www.facebook.com/bankhapoalim,https://www.instagram.com/bankhapoalim,Not Found
64,Mizrahi Tefahot Bank,Israel,Banking,https://www.mizrahi-tefahot.co.il,No,Not Found,https://www.facebook.com/MizrahiTefahotBank,Not Found,Not Found
65,Israel Discount Bank,Israel,Banking,https://www.discountbank.co.il,No,Not Found,https://www.facebook.com/DiscountBank,Not Found,Not Found
66,Bank Yahav,Israel,Banking,https://www.yahav.co.il,No,Not Found,https://www.facebook.com/BankYahav,Not Found,Not Found
67,Cellcom,Israel,Telecom,https://www.cellcom.co.il,Yes,+972559909888,https://www.facebook.com/cellcom,https://www.instagram.com/cellcom_il,Not Found
68,Partner Communications,Israel,Telecom,https://www.partner.co.il,No,Not Found,https://www.facebook.com/PartnerOrange,https://www.instagram.com/partner_il,Not Found
69,Pelephone,Israel,Telecom,https://www.pelephone.co.il,No,Not Found,https://www.facebook.com/pelephone,https://www.instagram.com/pelephone_official,Not Found
70,HOT Telecom,Israel,Telecom,https://www.hot.net.il,No,Not Found,https://www.facebook.com/hotisrael,https://www.instagram.com/hot_israel,Not Found
71,Bezeq,Israel,Telecom,https://www.bezeq.co.il,No,Not Found,https://www.facebook.com/bezeq,https://www.instagram.com/bezeq_il,Not Found
72,Rami Levy Communications,Israel,Telecom,https://mobile.rami-levy.co.il,Yes,+972559909888,https://www.facebook.com/rami.levi.tikshoret,Not Found,Not Found
73,Golan Telecom,Israel,Telecom,https://www.golantelecom.co.il,No,Not Found,https://www.facebook.com/GolanTelecom,Not Found,Not Found
74,Clalit Health Services,Israel,Healthcare,https://www.clalit.co.il,No,Not Found,https://www.facebook.com/ClaLit,Not Found,Not Found
75,Maccabi Healthcare Services,Israel,Healthcare,https://www.maccabi4u.co.il,No,Not Found,https://www.facebook.com/Maccabi4U,Not Found,Not Found
76,Leumit Health Services,Israel,Healthcare,https://www.leumit.co.il,No,Not Found,https://www.facebook.com/LeumitHealth,Not Found,Not Found
77,Meuhedet Health Services,Israel,Healthcare,https://www.meuhedet.co.il,No,Not Found,https://www.facebook.com/meuhedet,Not Found,Not Found
78,Ichilov (Sourasky Medical Center),Israel,Healthcare / Hospital,https://www.tasmc.org.il,No,Not Found,https://www.facebook.com/TelAvivSourasky,Not Found,Not Found
79,Hadassah Medical Center,Israel,Healthcare / Hospital,https://www.hadassah.org.il,No,Not Found,https://www.facebook.com/HadassahMed,Not Found,Not Found
80,Sheba Medical Center,Israel,Healthcare / Hospital,https://www.sheba.co.il,No,Not Found,https://www.facebook.com/ShebaMC,Not Found,Not Found
81,Dentist Tel Aviv Clinic,Israel,Healthcare / Dental,https://dentist-telaviv.com,Yes,Not Found,Not Found,Not Found,Not Found
82,Dental Direct Israel,Israel,Healthcare / Dental,https://dentaldirectisrael.com,Yes,Not Found,Not Found,Not Found,Not Found
83,Herzliya Dental Clinic,Israel,Healthcare / Dental,https://herzliya-clinic.net,Yes,Not Found,Not Found,Not Found,Not Found
84,Medart Dental,Israel,Healthcare / Dental,https://dentistsisrael.com,No,Not Found,Not Found,Not Found,Not Found
85,Tnuva,Israel,Food Manufacturing,https://tnuva.com,No,Not Found,https://www.facebook.com/TnuvaIL,https://www.instagram.com/tnuva_il,Not Found
86,Strauss Group,Israel,Food Manufacturing,https://www.strauss-group.com,No,Not Found,https://www.facebook.com/StraussGroup,Not Found,Not Found
87,Osem-Nestle,Israel,Food Manufacturing,https://www.osem.co.il,No,Not Found,https://www.facebook.com/OsemIL,https://www.instagram.com/osem_il,Not Found
88,Elite Coffee,Israel,Food Manufacturing,https://www.elite.co.il,No,Not Found,https://www.facebook.com/EliteCoffeeIL,Not Found,Not Found
89,Tempo Beverages,Israel,Food / Beverages,https://www.tempo.co.il,No,Not Found,https://www.facebook.com/TempoIsrael,Not Found,Not Found
90,Barkan Winery,Israel,Food / Wine,https://www.barkan-winery.co.il,No,Not Found,https://www.facebook.com/BarkanWinery,https://www.instagram.com/barkanwinery,Not Found
91,Golan Heights Winery,Israel,Food / Wine,https://www.golanwines.co.il,No,Not Found,https://www.facebook.com/GolanHeightsWinery,https://www.instagram.com/golanwines,Not Found
92,Clal Insurance,Israel,Insurance,https://www.clalbit.co.il,No,Not Found,https://www.facebook.com/ClalInsurance,Not Found,Not Found
93,Migdal Insurance,Israel,Insurance,https://www.migdalholdings.co.il,No,Not Found,https://www.facebook.com/MigdalInsurance,Not Found,Not Found
94,Phoenix Insurance,Israel,Insurance,https://www.fnx.co.il,No,Not Found,https://www.facebook.com/PhoenixInsuranceIL,Not Found,Not Found
95,Menora Mivtachim,Israel,Insurance,https://www.menoramivt.co.il,No,Not Found,https://www.facebook.com/menora.mivtachim,Not Found,Not Found
96,Harel Insurance,Israel,Insurance,https://www.harel-group.co.il,No,Not Found,https://www.facebook.com/HarelIns,Not Found,Not Found
97,Azrieli Group,Israel,Real Estate,https://www.azrieli.com,No,Not Found,https://www.facebook.com/AzrieliGroup,Not Found,Not Found
98,Ashtrom Group,Israel,Real Estate / Construction,https://www.ashtrom.co.il,No,Not Found,Not Found,Not Found,Not Found
99,Africa Israel,Israel,Real Estate,https://www.africa-israel.com,No,Not Found,Not Found,Not Found,Not Found
100,Amot Investments,Israel,Real Estate,https://www.amot.co.il,No,Not Found,Not Found,Not Found,Not Found
101,Meitar Law Firm,Israel,Legal Services,https://meitar.com,No,Not Found,https://www.facebook.com/meitarlaw,Not Found,Not Found
102,Herzog Fox Neeman,Israel,Legal Services,https://herzoglaw.co.il,No,Not Found,https://www.facebook.com/HerzogFoxNeeman,Not Found,Not Found
103,Barnea Jaffa Lande,Israel,Legal Services,https://barlaw.co.il,No,Not Found,https://www.facebook.com/barneajaffalande,Not Found,Not Found
104,Gornitzky & Co,Israel,Legal Services,https://www.gornitzky.com,No,Not Found,Not Found,Not Found,Not Found
105,Amit Pollak Matalon,Israel,Legal Services,https://www.apm.law,No,Not Found,Not Found,Not Found,[email protected]
106,Dan Hotels,Israel,Hotels / Hospitality,https://www.danhotels.com,No,Not Found,https://www.facebook.com/DanHotels,https://www.instagram.com/dan_hotels,Not Found
107,Atlas Boutique Hotels,Israel,Hotels / Hospitality,https://www.atlas.co.il,No,Not Found,https://www.facebook.com/atlasboutiquehotels,https://www.instagram.com/atlas_hotels,Not Found
108,Brown Hotels,Israel,Hotels / Hospitality,https://brownhotels.com,No,Not Found,https://www.facebook.com/brownhotels,https://www.instagram.com/brownhotels,Not Found
109,Prima Hotels,Israel,Hotels / Hospitality,https://www.prima-hotels-israel.com,No,Not Found,https://www.facebook.com/PrimaHotels,Not Found,Not Found
110,Fattal Hotels,Israel,Hotels / Hospitality,https://www.fattal.co.il,No,Not Found,https://www.facebook.com/FattalHotels,https://www.instagram.com/fattal_hotels,Not Found
111,Isrotel,Israel,Hotels / Hospitality,https://www.isrotel.co.il,No,Not Found,https://www.facebook.com/isrotel,https://www.instagram.com/isrotel_hotels,Not Found
112,Herbert Samuel Hotels,Israel,Hotels / Hospitality,https://www.herbertsamuel.co.il,No,Not Found,Not Found,Not Found,Not Found
113,Shlomo Sixt,Israel,Car Rental,https://en.shlomo.co.il,No,Not Found,https://www.facebook.com/ShlomoSixt,Not Found,Not Found
114,Eldan Car Rental,Israel,Car Rental,https://www.eldan.co.il,No,Not Found,https://www.facebook.com/EldanRentACar,Not Found,Not Found
115,Avis Israel,Israel,Car Rental,https://www.avis.co.il,No,Not Found,Not Found,Not Found,Not Found
116,Budget Israel,Israel,Car Rental,https://www.budget.co.il,No,Not Found,Not Found,Not Found,Not Found
117,Hertz Israel,Israel,Car Rental,https://www.hertz.co.il,No,Not Found,Not Found,Not Found,Not Found
118,WeWork Israel,Israel,Coworking / Real Estate,https://www.wework.co.il,No,Not Found,https://www.facebook.com/WeWorkIsrael,https://www.instagram.com/wework,Not Found
119,Mindspace,Israel,Coworking / Real Estate,https://www.mindspace.me,No,Not Found,https://www.facebook.com/MindspaceMe,https://www.instagram.com/mindspace.me,Not Found
120,LABS,Israel,Coworking / Real Estate,https://www.labs.com,No,Not Found,https://www.facebook.com/LabsTLV,https://www.instagram.com/labs_tlv,Not Found
121,Yullia Spa,Israel,Beauty / Spa,https://yullia.com,Yes,Not Found,https://www.facebook.com/yulliacosmetics,https://www.instagram.com/yullia_cosmetics,Not Found
122,LaVic Beauty Salon,Israel,Beauty / Spa,https://www.lavicspasalon.com,No,Not Found,https://www.facebook.com/lavicsalon,https://www.instagram.com/lavic_spa,Not Found
123,Spa Plus,Israel,Beauty / Spa,https://www.spaplus.co.il,No,Not Found,Not Found,Not Found,Not Found
124,Shevet Hammam & Spa,Israel,Beauty / Spa,https://www.shevet.me,No,Not Found,https://www.facebook.com/shevetjlm,https://www.instagram.com/shevet.spa,Not Found
125,YMCA Jerusalem Sports,Israel,Fitness / Sports,https://www.ymcasport.org.il,No,Not Found,https://www.facebook.com/YMCAJerusalemSport,Not Found,Not Found
126,Holmes Place Israel,Israel,Fitness / Sports,https://www.holmesplace.co.il,No,Not Found,https://www.facebook.com/HolmesPlaceIL,https://www.instagram.com/holmesplace_il,Not Found
127,Ellayoga,Israel,Fitness / Yoga,Not Found,No,Not Found,https://www.facebook.com/Ellayoga,https://www.instagram.com/ellayoga_tlv,Not Found
128,Abraham Tours,Israel,Travel / Tourism,https://www.abrahamtours.com,Yes,Not Found,https://www.facebook.com/AbrahamTours,https://www.instagram.com/abrahamtours,Not Found
129,Authentic Israel Tours,Israel,Travel / Tourism,https://www.authenticisrael.com,No,Not Found,https://www.facebook.com/AuthenticIsrael,Not Found,Not Found
130,Routes Travel,Israel,Travel / Tourism,https://routestravel.com,No,Not Found,https://www.facebook.com/RoutesTravel,Not Found,Not Found
131,Israel Outdoors,Israel,Travel / Tourism,https://israeloutdoors.com,No,Not Found,https://www.facebook.com/IsraelOutdoors,https://www.instagram.com/israeloutdoors,Not Found
132,Yael Adventures,Israel,Travel / Tourism,https://www.goyael.com,No,Not Found,https://www.facebook.com/YaelAdventures,Not Found,Not Found
133,El Al Airlines,Israel,Travel / Airlines,https://www.elal.com,Yes,Not Found,https://www.facebook.com/ELALISRAEL,https://www.instagram.com/elalisrael,Not Found
134,Israir Airlines,Israel,Travel / Airlines,https://www.israirairlines.com,No,Not Found,https://www.facebook.com/IsrairAirlines,Not Found,Not Found
135,Arkia Airlines,Israel,Travel / Airlines,https://www.arkia.com,No,Not Found,https://www.facebook.com/ArkiaAirlines,Not Found,Not Found
136,Egged Bus,Israel,Transportation,https://www.egged.co.il,No,Not Found,https://www.facebook.com/EggedBus,Not Found,Not Found
137,Dan Bus,Israel,Transportation,https://www.dan.co.il,No,Not Found,https://www.facebook.com/DanBusCompany,Not Found,Not Found
138,Gett (GetTaxi),Israel,Transportation / Tech,https://gett.com,No,Not Found,https://www.facebook.com/gaborttapp,https://www.instagram.com/gett,Not Found
139,Moovit,Israel,Transportation / Tech,https://moovit.com,No,Not Found,https://www.facebook.com/Moovit,https://www.instagram.com/moabortvitapp,Not Found
140,Zim Shipping,Israel,Logistics / Shipping,https://www.zim.com,No,Not Found,https://www.facebook.com/ZIMShippingServices,Not Found,Not Found
141,Israel Post,Israel,Logistics / Postal,https://www.israelpost.co.il,No,Not Found,https://www.facebook.com/IsraelPostOfficial,Not Found,Not Found
142,King Solomon School,Israel,Education,https://kingsolomonschool.org,Yes,+972732342030,https://www.facebook.com/KingSolomonSchoolIL,Not Found,Not Found
143,TreeHouse International School,Israel,Education,https://www.treehouse.co.il,No,Not Found,https://www.facebook.com/TreehouseSchoolIL,Not Found,Not Found
144,Walworth Barbour American School,Israel,Education,https://www.wbais.net,No,Not Found,https://www.facebook.com/WBAIS,Not Found,Not Found
145,Zarkor School,Israel,Education,https://zarkor.org,No,Not Found,Not Found,Not Found,Not Found
146,Technion,Israel,Education / University,https://www.technion.ac.il,No,Not Found,https://www.facebook.com/technion,https://www.instagram.com/technion,Not Found
147,Hebrew University,Israel,Education / University,https://www.huji.ac.il,No,Not Found,https://www.facebook.com/HebrewU,https://www.instagram.com/hebrewuniversity,Not Found
148,Tel Aviv University,Israel,Education / University,https://www.tau.ac.il,No,Not Found,https://www.facebook.com/TelAvivUni,https://www.instagram.com/teaborlavivuni,Not Found
149,Ben Gurion University,Israel,Education / University,https://www.bgu.ac.il,No,Not Found,https://www.facebook.com/BenGurionUniversity,Not Found,Not Found
150,Reichman University (IDC),Israel,Education / University,https://www.runi.ac.il,No,Not Found,https://www.facebook.com/ReichmanUni,https://www.instagram.com/reichman_uni,Not Found
151,Weizmann Institute,Israel,Education / Research,https://www.weizmann.ac.il,No,Not Found,https://www.facebook.com/WeizmannInstitute,https://www.instagram.com/weabortzmann_institute,Not Found
152,ISRAFIX,Israel,Home Services,https://www.israfix.co.il,Yes,Not Found,Not Found,Not Found,Not Found
153,GetMoving Israel,Israel,Home Services / Moving,https://getmoving.co.il,No,Not Found,Not Found,Not Found,Not Found
154,Hovalot Israel,Israel,Home Services / Moving,https://hovalot-israel.co.il,No,Not Found,Not Found,Not Found,Not Found
155,Peak Point Garage,Israel,Auto Services,https://www.cpoint.co.il,No,Not Found,Not Found,Not Found,Not Found
156,Zvi Cars,Israel,Auto Services / Dealer,https://www.zvicars.com,No,Not Found,Not Found,Not Found,Not Found
157,Vetmarket,Israel,Pet / Veterinary,https://www.vetmarket.co.il,No,Not Found,Not Found,Not Found,Not Found
158,Animal Clinic Tel Aviv,Israel,Pet / Veterinary,https://www.animal-clinic.co.il,No,Not Found,Not Found,Not Found,Not Found
159,Vivapets Israel,Israel,Pet / Shop,https://shop.vivapets.com/il,Yes,Not Found,Not Found,Not Found,Not Found
160,Natalie Abraham DreamCatcher,Israel,Events / Wedding Planning,https://www.natalieabrahamdreamcatcher.com,Yes,Not Found,https://www.facebook.com/dreamcatcherevents,https://www.instagram.com/dreamcatcher_events,Not Found
161,A to Z Events Israel,Israel,Events / Wedding Planning,https://atozeventsisrael.com,No,Not Found,Not Found,Not Found,Not Found
162,Orchid Events Israel,Israel,Events / Wedding Planning,http://orchideventsisrael.com,No,Not Found,Not Found,Not Found,Not Found
163,Barak Aharon Photography,Israel,Photography,https://barakaharon.com,No,Not Found,Not Found,https://www.instagram.com/barakaharon,Not Found
164,Anton Mislawsky Photography,Israel,Photography,https://antonmislawsky.com,No,Not Found,Not Found,https://www.instagram.com/antonmislawsky,Not Found
165,Arava Power,Israel,Energy / Solar,https://aravapower.com,No,Not Found,Not Found,Not Found,Not Found
166,Doral Energy,Israel,Energy / Renewables,https://doral-energy.com,No,Not Found,Not Found,Not Found,Not Found
167,GenCell Energy,Israel,Energy / Green Tech,https://www.gencellenergy.com,No,Not Found,Not Found,Not Found,Not Found
168,Airtouch Solar,Israel,Energy / Solar,https://airtouchsolar.com,No,Not Found,Not Found,Not Found,Not Found
169,Immobilier Real Estate,Israel,Real Estate,https://www.immobilier.co.il,No,Not Found,Not Found,Not Found,Not Found
170,Israel Properties,Israel,Real Estate,https://www.israel-properties.com,No,Not Found,Not Found,Not Found,Not Found
171,Debby Schor Elyasy,Israel,Real Estate / Renovation,https://www.dsearc.co.il,No,Not Found,Not Found,Not Found,Not Found
172,Sonol,Israel,Energy / Gas Stations,https://www.sonol.co.il,No,Not Found,https://www.facebook.com/SonolIsrael,Not Found,Not Found
173,Paz Oil Company,Israel,Energy / Gas Stations,https://www.paz.co.il,No,Not Found,https://www.facebook.com/PazIsrael,Not Found,Not Found
174,Delek Group,Israel,Energy / Oil & Gas,https://www.delek-group.com,No,Not Found,Not Found,Not Found,Not Found
175,ICL Group,Israel,Chemicals / Mining,https://www.icl-group.com,No,Not Found,https://www.facebook.com/ICLGroup,Not Found,Not Found
176,Orbotech (KLA),Israel,Technology / Industrial,https://www.orbotech.com,No,Not Found,Not Found,Not Found,Not Found
177,Sapiens International,Israel,Technology / Insurance Software,https://www.sapiens.com,No,Not Found,Not Found,Not Found,Not Found
178,Nofar Sharabani Events,Israel,Events / Wedding Planning,https://www.nofarsharabani.com,Yes,Not Found,Not Found,https://www.instagram.com/nofarsharabani,Not Found
179,Padani Jewelry,Israel,Retail / Jewelry,https://padani.com,No,Not Found,https://www.facebook.com/padanijewelry,https://www.instagram.com/padani_jewelry,Not Found
180,Pandora Israel,Israel,Retail / Jewelry,https://www.pandora.net/il,No,Not Found,Not Found,Not Found,Not Found
181,Swarovski Israel,Israel,Retail / Jewelry,https://www.swarovski.com/il,No,Not Found,Not Found,Not Found,Not Found
182,H&M Israel,Israel,Fashion / Retail,https://www.hm.com/il,No,Not Found,Not Found,Not Found,Not Found
183,Zara Israel,Israel,Fashion / Retail,https://www.zara.com/il,No,Not Found,Not Found,Not Found,Not Found
184,Decathlon Israel,Israel,Retail / Sports,https://www.decathlon.co.il,No,Not Found,https://www.facebook.com/DecathlonIsrael,https://www.instagram.com/decathlon_israel,Not Found
185,Aidoc,Israel,Technology / Healthcare AI,https://www.aidoc.com,No,Not Found,https://www.facebook.com/AidocMed,Not Found,Not Found
186,Fetcherr,Israel,Technology / AI,https://www.fetcherr.io,No,Not Found,Not Found,Not Found,Not Found
187,Elementor,Israel,Technology / Web,https://elementor.com,No,Not Found,https://www.facebook.com/elaborotemntor,https://www.instagram.com/elementor,Not Found
188,Playtika,Israel,Technology / Gaming,https://www.playtika.com,No,Not Found,https://www.facebook.com/Playtika,https://www.instagram.com/playtika,Not Found
189,ironSource (Unity),Israel,Technology / AdTech,https://www.is.com,No,Not Found,Not Found,Not Found,Not Found
190,AppsFlyer,Israel,Technology / Marketing,https://www.appsflyer.com,No,Not Found,https://www.facebook.com/AppsFlyer,Not Found,Not Found
191,Taboola,Israel,Technology / AdTech,https://www.taboola.com,No,Not Found,https://www.facebook.com/Taboola,Not Found,Not Found
192,Outbrain,Israel,Technology / AdTech,https://www.outbrain.com,No,Not Found,https://www.facebook.com/outbrain,Not Found,Not Found
193,Gong.io,Israel,Technology / Sales,https://www.gong.io,No,Not Found,https://www.facebook.com/gaborotngaborot,Not Found,Not Found
